600000, 1.2158
600008, 0.1115
600009, 0.4201
600010, 0.2649
600011, 0.2489
600015, 0.5029
600016, 1.6642
600018, 0.1868
600019, 0.6693
600021, 0.0747
600023, 0.1992
600028, 0.5977
600029, 0.3189
600030, 1.3176
600031, 0.3314
600036, 2.6461
600038, 0.1048
600048, 0.8582
600050, 0.4572
600061, 0.0949
600066, 0.2546
600068, 0.214
600074, 0.0219
600085, 0.1654
600089, 0.291
600100, 0.1725
600104, 1.0536
600109, 0.1642
600111, 0.252
600115, 0.2495
600118, 0.1224
600153, 0.139
600157, 0.1846
600170, 0.1473
600177, 0.1884
600188, 0.0463
600196, 0.3945
600208, 0.1719
600219, 0.1566
600221, 0.3307
600233, 0.0488
600271, 0.2682
600276, 1.2685
600297, 0.1551
600309, 0.4405
600332, 0.1482
600340, 0.3448
600352, 0.2274
600362, 0.1602
600369, 0.1098
600372, 0.0746
600373, 0.0771
600376, 0.0966
600383, 0.2296
600390, 0.03
600406, 0.2476
600415, 0.1278
600436, 0.2203
600482, 0.1966
600485, 0.2263
600489, 0.1476
600498, 0.1424
600518, 0.5827
600519, 3.0219
600522, 0.2312
600535, 0.2567
600547, 0.2028
600549, 0.0998
600570, 0.2747
600583, 0.1204
600585, 0.5737
600588, 0.2443
600606, 0.2363
600637, 0.1971
600649, 0.0894
600660, 0.3018
600663, 0.1235
600674, 0.1756
600682, 0.1309
600685, 0.066
600688, 0.0765
600690, 0.4659
600703, 0.5213
600704, 0.0995
600705, 0.2131
600739, 0.1965
600741, 0.3341
600795, 0.3076
600804, 0.1886
600816, 0.1891
600820, 0.1214
600827, 0.0782
600837, 0.8315
600871, 0.0343
600886, 0.2528
600887, 1.503
600893, 0.2294
600895, 0.0959
600900, 0.9321
600909, 0.0677
600919, 0.4459
600926, 0.0402
600958, 0.3274
600959, 0.1004
600977, 0.111
600999, 0.3544
601006, 0.4312
601009, 0.3641
601012, 0.4206
601018, 0.1856
601021, 0.0734
601088, 0.3647
601099, 0.1748
601111, 0.207
601117, 0.127
601118, 0.0702
601155, 0.2841
601163, 0.0364
601166, 1.8265
601169, 0.8992
601186, 0.402
601198, 0.1386
601211, 0.5713
601212, 0.0436
601216, 0.1406
601225, 0.2773
601228, 0.0356
601229, 0.1116
601288, 1.2981
601318, 6.1942
601328, 1.4967
601333, 0.1374
601336, 0.3352
601375, 0.0445
601377, 0.2762
601390, 0.3664
601398, 1.1368
601555, 0.1774
601600, 0.2722
601601, 0.9304
601607, 0.2484
601608, 0.0546
601611, 0.0676
601618, 0.1819
601628, 0.3743
601633, 0.1215
601668, 1.1461
601669, 0.2707
601688, 0.5133
601718, 0.065
601727, 0.1855
601766, 0.6448
601788, 0.2154
601800, 0.1748
601818, 0.5717
601857, 0.4382
601866, 0.0859
601872, 0.0694
601877, 0.0989
601878, 0.0414
601881, 0.0593
601888, 0.4734
601898, 0.0827
601899, 0.4056
601901, 0.2271
601919, 0.1978
601933, 0.3423
601939, 0.446
601958, 0.0587
601966, 0.0732
601985, 0.2767
601988, 0.7232
601989, 0.4395
601991, 0.0798
601992, 0.1451
601997, 0.1776
601998, 0.1735
603160, 0.0385
603799, 0.2913
603833, 0.0513
603858, 0.0347
603993, 0.1926
